country,band,value,year
Albania,700,0,2017
Albania,800,0,2017
Albania,900,0,2017
Albania,1500,0,2017
Albania,1800,0,2017
Albania,2100,0,2017
Albania,2300,0,2017
Albania,2600,0,2017
Albania,3400,0,2017
Albania,3600,0,2017
Algeria,700,0,2017
Algeria,800,0,2017
Algeria,900,0,2017
Algeria,1500,0,2017
Algeria,1800,0,2017
Algeria,2100,0,2017
Algeria,2300,0,2017
Algeria,2600,0,2017
Algeria,3400,0,2017
Algeria,3600,0,2017
Argentina,700,0,2017
Argentina,800,0,2017
Argentina,900,0,2017
Argentina,1500,0,2017
Argentina,1800,0,2017
Argentina,2100,0,2017
Argentina,2300,0,2017
Argentina,2600,0,2017
Argentina,3400,0,2017
Argentina,3600,0,2017
Australia,700,0,2017
Australia,800,0,2017
Australia,900,0,2017
Australia,1500,0,2017
Australia,1800,0,2017
Australia,2100,0,2017
Australia,2300,0,2017
Australia,2600,0,2017
Australia,3400,0,2017
Australia,3600,0,2017
Bangladesh,700,0,2017
Bangladesh,800,0,2017
Bangladesh,900,0,2017
Bangladesh,1500,0,2017
Bangladesh,1800,0,2017
Bangladesh,2100,0,2017
Bangladesh,2300,0,2017
Bangladesh,2600,0,2017
Bangladesh,3400,0,2017
Bangladesh,3600,0,2017
Belgium,700,0,2017
Belgium,800,0,2017
Belgium,900,0,2017
Belgium,1500,0,2017
Belgium,1800,0,2017
Belgium,2100,0,2017
Belgium,2300,0,2017
Belgium,2600,0,2017
Belgium,3400,0,2017
Belgium,3600,0,2017
Brazil,700,0,2017
Brazil,800,0,2017
Brazil,900,0,2017
Brazil,1500,0,2017
Brazil,1800,0,2017
Brazil,2100,0,2017
Brazil,2300,0,2017
Brazil,2600,0,2017
Brazil,3400,0,2017
Brazil,3600,0,2017
Bulgaria,700,0,2017
Bulgaria,800,0,2017
Bulgaria,900,0,2017
Bulgaria,1500,0,2017
Bulgaria,1800,0,2017
Bulgaria,2100,0,2017
Bulgaria,2300,0,2017
Bulgaria,2600,0,2017
Bulgaria,3400,0,2017
Bulgaria,3600,0,2017
Chile,700,0,2017
Chile,800,0,2017
Chile,900,0,2017
Chile,1500,0,2017
Chile,1800,0,2017
Chile,2100,0,2017
Chile,2300,0,2017
Chile,2600,0,2017
Chile,3400,0,2017
Chile,3600,0,2017
Colombia,700,0,2017
Colombia,800,0,2017
Colombia,900,0,2017
Colombia,1500,0,2017
Colombia,1800,0,2017
Colombia,2100,0,2017
Colombia,2300,0,2017
Colombia,2600,0,2017
Colombia,3400,0,2017
Colombia,3600,0,2017
Costa Rica,700,0,2017
Costa Rica,800,0,2017
Costa Rica,900,0,2017
Costa Rica,1500,0,2017
Costa Rica,1800,0,2017
Costa Rica,2100,0,2017
Costa Rica,2300,0,2017
Costa Rica,2600,0,2017
Costa Rica,3400,0,2017
Costa Rica,3600,0,2017
Croatia,700,0,2017
Croatia,800,0,2017
Croatia,900,0,2017
Croatia,1500,0,2017
Croatia,1800,0,2017
Croatia,2100,0,2017
Croatia,2300,0,2017
Croatia,2600,0,2017
Croatia,3400,0,2017
Croatia,3600,0,2017
Cyprus,700,0,2017
Cyprus,800,0,2017
Cyprus,900,0,2017
Cyprus,1500,0,2017
Cyprus,1800,0,2017
Cyprus,2100,0,2017
Cyprus,2300,0,2017
Cyprus,2600,0,2017
Cyprus,3400,0,2017
Cyprus,3600,0,2017
Czech Republic,700,0,2017
Czech Republic,800,0,2017
Czech Republic,900,0,2017
Czech Republic,1500,0,2017
Czech Republic,1800,0,2017
Czech Republic,2100,0,2017
Czech Republic,2300,0,2017
Czech Republic,2600,0,2017
Czech Republic,3400,0,2017
Czech Republic,3600,0,2017
Denmark,700,0,2017
Denmark,800,0,2017
Denmark,900,0,2017
Denmark,1500,0,2017
Denmark,1800,0,2017
Denmark,2100,0,2017
Denmark,2300,0,2017
Denmark,2600,0,2017
Denmark,3400,0,2017
Denmark,3600,0,2017
Dominican Republic,700,0,2017
Dominican Republic,800,0,2017
Dominican Republic,900,0,2017
Dominican Republic,1500,0,2017
Dominican Republic,1800,0,2017
Dominican Republic,2100,0,2017
Dominican Republic,2300,0,2017
Dominican Republic,2600,0,2017
Dominican Republic,3400,0,2017
Dominican Republic,3600,0,2017
Ecuador,700,0,2017
Ecuador,800,0,2017
Ecuador,900,0,2017
Ecuador,1500,0,2017
Ecuador,1800,0,2017
Ecuador,2100,0,2017
Ecuador,2300,0,2017
Ecuador,2600,0,2017
Ecuador,3400,0,2017
Ecuador,3600,0,2017
Estonia,700,0,2017
Estonia,800,0,2017
Estonia,900,0,2017
Estonia,1500,0,2017
Estonia,1800,0,2017
Estonia,2100,0,2017
Estonia,2300,0,2017
Estonia,2600,0,2017
Estonia,3400,0,2017
Estonia,3600,0,2017
Fiji,700,0,2017
Fiji,800,0,2017
Fiji,900,0,2017
Fiji,1500,0,2017
Fiji,1800,0,2017
Fiji,2100,0,2017
Fiji,2300,0,2017
Fiji,2600,0,2017
Fiji,3400,0,2017
Fiji,3600,0,2017
Finland,700,0,2017
Finland,800,0,2017
Finland,900,0,2017
Finland,1500,0,2017
Finland,1800,0,2017
Finland,2100,0,2017
Finland,2300,0,2017
Finland,2600,0,2017
Finland,3400,0,2017
Finland,3600,0,2017
France,700,0,2017
France,800,0,2017
France,900,0,2017
France,1500,0,2017
France,1800,0,2017
France,2100,0,2017
France,2300,0,2017
France,2600,0,2017
France,3400,0,2017
France,3600,0,2017
Georgia,700,0,2017
Georgia,800,0,2017
Georgia,900,0,2017
Georgia,1500,0,2017
Georgia,1800,0,2017
Georgia,2100,0,2017
Georgia,2300,0,2017
Georgia,2600,0,2017
Georgia,3400,0,2017
Georgia,3600,0,2017
Germany,700,0,2017
Germany,800,0,2017
Germany,900,0,2017
Germany,1500,0,2017
Germany,1800,0,2017
Germany,2100,0,2017
Germany,2300,0,2017
Germany,2600,0,2017
Germany,3400,0,2017
Germany,3600,0,2017
Greece,700,0,2017
Greece,800,0,2017
Greece,900,0,2017
Greece,1500,0,2017
Greece,1800,0,2017
Greece,2100,0,2017
Greece,2300,0,2017
Greece,2600,0,2017
Greece,3400,0,2017
Greece,3600,0,2017
Honduras,700,0,2017
Honduras,800,0,2017
Honduras,900,0,2017
Honduras,1500,0,2017
Honduras,1800,0,2017
Honduras,2100,0,2017
Honduras,2300,0,2017
Honduras,2600,0,2017
Honduras,3400,0,2017
Honduras,3600,0,2017
Hong Kong China,700,0,2017
Hong Kong China,800,0,2017
Hong Kong China,900,0,2017
Hong Kong China,1500,0,2017
Hong Kong China,1800,0,2017
Hong Kong China,2100,0,2017
Hong Kong China,2300,0,2017
Hong Kong China,2600,0,2017
Hong Kong China,3400,0,2017
Hong Kong China,3600,0,2017
Hungary,700,0,2017
Hungary,800,0,2017
Hungary,900,0,2017
Hungary,1500,0,2017
Hungary,1800,0,2017
Hungary,2100,0,2017
Hungary,2300,0,2017
Hungary,2600,0,2017
Hungary,3400,0,2017
Hungary,3600,0,2017
Ireland,700,0,2017
Ireland,800,0,2017
Ireland,900,0,2017
Ireland,1500,0,2017
Ireland,1800,0,2017
Ireland,2100,0,2017
Ireland,2300,0,2017
Ireland,2600,0,2017
Ireland,3400,0,2017
Ireland,3600,0,2017
Israel,700,0,2017
Israel,800,0,2017
Israel,900,0,2017
Israel,1500,0,2017
Israel,1800,0,2017
Israel,2100,0,2017
Israel,2300,0,2017
Israel,2600,0,2017
Israel,3400,0,2017
Israel,3600,0,2017
Italy,700,0,2017
Italy,800,0,2017
Italy,900,0,2017
Italy,1500,0,2017
Italy,1800,0,2017
Italy,2100,0,2017
Italy,2300,0,2017
Italy,2600,0,2017
Italy,3400,0,2017
Italy,3600,0,2017
Jordan,700,0,2017
Jordan,800,0,2017
Jordan,900,0,2017
Jordan,1500,0,2017
Jordan,1800,0,2017
Jordan,2100,0,2017
Jordan,2300,0,2017
Jordan,2600,0,2017
Jordan,3400,0,2017
Jordan,3600,0,2017
Korea Rep.,700,0,2017
Korea Rep.,800,0,2017
Korea Rep.,900,0,2017
Korea Rep.,1500,0,2017
Korea Rep.,1800,0,2017
Korea Rep.,2100,0,2017
Korea Rep.,2300,0,2017
Korea Rep.,2600,0,2017
Korea Rep.,3400,0,2017
Korea Rep.,3600,0,2017
Kyrgyz Republic,700,0,2017
Kyrgyz Republic,800,0,2017
Kyrgyz Republic,900,0,2017
Kyrgyz Republic,1500,0,2017
Kyrgyz Republic,1800,0.165099927,2017
Kyrgyz Republic,2100,0,2017
Kyrgyz Republic,2300,0,2017
Kyrgyz Republic,2600,0,2017
Kyrgyz Republic,3400,0,2017
Kyrgyz Republic,3600,0,2017
Latvia,700,0,2017
Latvia,800,0,2017
Latvia,900,0,2017
Latvia,1500,0,2017
Latvia,1800,0,2017
Latvia,2100,0,2017
Latvia,2300,0,2017
Latvia,2600,0,2017
Latvia,3400,0,2017
Latvia,3600,0,2017
Lithuania,700,0,2017
Lithuania,800,0,2017
Lithuania,900,0,2017
Lithuania,1500,0,2017
Lithuania,1800,0,2017
Lithuania,2100,0,2017
Lithuania,2300,0,2017
Lithuania,2600,0,2017
Lithuania,3400,0,2017
Lithuania,3600,0,2017
Macedonia FYR,700,0,2017
Macedonia FYR,800,0,2017
Macedonia FYR,900,0,2017
Macedonia FYR,1500,0,2017
Macedonia FYR,1800,0,2017
Macedonia FYR,2100,0,2017
Macedonia FYR,2300,0,2017
Macedonia FYR,2600,0,2017
Macedonia FYR,3400,0,2017
Macedonia FYR,3600,0,2017
Malaysia,700,0,2017
Malaysia,800,0,2017
Malaysia,900,0,2017
Malaysia,1500,0,2017
Malaysia,1800,0,2017
Malaysia,2100,0,2017
Malaysia,2300,0,2017
Malaysia,2600,0,2017
Malaysia,3400,0,2017
Malaysia,3600,0,2017
Malta,700,0,2017
Malta,800,0,2017
Malta,900,0,2017
Malta,1500,0,2017
Malta,1800,0,2017
Malta,2100,0,2017
Malta,2300,0,2017
Malta,2600,0,2017
Malta,3400,0,2017
Malta,3600,0,2017
Moldova,700,0,2017
Moldova,800,0,2017
Moldova,900,0,2017
Moldova,1500,0,2017
Moldova,1800,0,2017
Moldova,2100,0,2017
Moldova,2300,0,2017
Moldova,2600,0,2017
Moldova,3400,0,2017
Moldova,3600,0,2017
Morocco,700,0,2017
Morocco,800,0,2017
Morocco,900,0,2017
Morocco,1500,0,2017
Morocco,1800,0,2017
Morocco,2100,0,2017
Morocco,2300,0,2017
Morocco,2600,0,2017
Morocco,3400,0,2017
Morocco,3600,0,2017
Mozambique,700,0,2017
Mozambique,800,0,2017
Mozambique,900,0,2017
Mozambique,1500,0,2017
Mozambique,1800,0,2017
Mozambique,2100,0,2017
Mozambique,2300,0,2017
Mozambique,2600,0,2017
Mozambique,3400,0,2017
Mozambique,3600,0,2017
Netherlands,700,0,2017
Netherlands,800,0,2017
Netherlands,900,0,2017
Netherlands,1500,0,2017
Netherlands,1800,0,2017
Netherlands,2100,0,2017
Netherlands,2300,0,2017
Netherlands,2600,0,2017
Netherlands,3400,0,2017
Netherlands,3600,0,2017
New Zealand,700,0,2017
New Zealand,800,0,2017
New Zealand,900,0,2017
New Zealand,1500,0,2017
New Zealand,1800,0,2017
New Zealand,2100,0,2017
New Zealand,2300,0,2017
New Zealand,2600,0,2017
New Zealand,3400,0,2017
New Zealand,3600,0,2017
Nigeria,700,0,2017
Nigeria,800,0,2017
Nigeria,900,0,2017
Nigeria,1500,0,2017
Nigeria,1800,0,2017
Nigeria,2100,0,2017
Nigeria,2300,0,2017
Nigeria,2600,0,2017
Nigeria,3400,0,2017
Nigeria,3600,0,2017
Norway,700,0,2017
Norway,800,0,2017
Norway,900,0,2017
Norway,1500,0,2017
Norway,1800,0,2017
Norway,2100,0,2017
Norway,2300,0,2017
Norway,2600,0,2017
Norway,3400,0,2017
Norway,3600,0,2017
Pakistan,700,0,2017
Pakistan,800,0,2017
Pakistan,900,0,2017
Pakistan,1500,0,2017
Pakistan,1800,0,2017
Pakistan,2100,0,2017
Pakistan,2300,0,2017
Pakistan,2600,0,2017
Pakistan,3400,0,2017
Pakistan,3600,0,2017
Peru,700,0,2017
Peru,800,0,2017
Peru,900,0,2017
Peru,1500,0,2017
Peru,1800,0,2017
Peru,2100,0,2017
Peru,2300,0,2017
Peru,2600,0,2017
Peru,3400,0,2017
Peru,3600,0,2017
Poland,700,0,2017
Poland,800,0,2017
Poland,900,0,2017
Poland,1500,0,2017
Poland,1800,0,2017
Poland,2100,0,2017
Poland,2300,0,2017
Poland,2600,0,2017
Poland,3400,0,2017
Poland,3600,0,2017
Portugal,700,0,2017
Portugal,800,0,2017
Portugal,900,0,2017
Portugal,1500,0,2017
Portugal,1800,0,2017
Portugal,2100,0,2017
Portugal,2300,0,2017
Portugal,2600,0,2017
Portugal,3400,0,2017
Portugal,3600,0,2017
Romania,700,0,2017
Romania,800,0,2017
Romania,900,0,2017
Romania,1500,0,2017
Romania,1800,0,2017
Romania,2100,0,2017
Romania,2300,0,2017
Romania,2600,0,2017
Romania,3400,0,2017
Romania,3600,0,2017
Russian Federation,700,0,2017
Russian Federation,800,0,2017
Russian Federation,900,0,2017
Russian Federation,1500,0,2017
Russian Federation,1800,0,2017
Russian Federation,2100,0,2017
Russian Federation,2300,0,2017
Russian Federation,2600,0,2017
Russian Federation,3400,0,2017
Russian Federation,3600,0,2017
Serbia,700,0,2017
Serbia,800,0,2017
Serbia,900,0,2017
Serbia,1500,0,2017
Serbia,1800,0,2017
Serbia,2100,0,2017
Serbia,2300,0,2017
Serbia,2600,0,2017
Serbia,3400,0,2017
Serbia,3600,0,2017
Singapore,700,0,2017
Singapore,800,0,2017
Singapore,900,0,2017
Singapore,1500,0,2017
Singapore,1800,0,2017
Singapore,2100,0,2017
Singapore,2300,0,2017
Singapore,2600,0,2017
Singapore,3400,0,2017
Singapore,3600,0,2017
Slovak Republic,700,0,2017
Slovak Republic,800,0,2017
Slovak Republic,900,0,2017
Slovak Republic,1500,0,2017
Slovak Republic,1800,0,2017
Slovak Republic,2100,0,2017
Slovak Republic,2300,0,2017
Slovak Republic,2600,0,2017
Slovak Republic,3400,0,2017
Slovak Republic,3600,0,2017
Slovenia,700,0,2017
Slovenia,800,0,2017
Slovenia,900,0,2017
Slovenia,1500,0,2017
Slovenia,1800,0,2017
Slovenia,2100,0,2017
Slovenia,2300,0,2017
Slovenia,2600,0,2017
Slovenia,3400,0,2017
Slovenia,3600,0,2017
Spain,700,0,2017
Spain,800,0,2017
Spain,900,0,2017
Spain,1500,0,2017
Spain,1800,0,2017
Spain,2100,0,2017
Spain,2300,0,2017
Spain,2600,0,2017
Spain,3400,0,2017
Spain,3600,0,2017
Sri Lanka,700,0,2017
Sri Lanka,800,0,2017
Sri Lanka,900,0,2017
Sri Lanka,1500,0,2017
Sri Lanka,1800,0,2017
Sri Lanka,2100,0,2017
Sri Lanka,2300,0,2017
Sri Lanka,2600,0,2017
Sri Lanka,3400,0,2017
Sri Lanka,3600,0,2017
Sweden,700,0,2017
Sweden,800,0,2017
Sweden,900,0,2017
Sweden,1500,0,2017
Sweden,1800,0,2017
Sweden,2100,0,2017
Sweden,2300,0,2017
Sweden,2600,0,2017
Sweden,3400,0,2017
Sweden,3600,0,2017
Switzerland,700,0,2017
Switzerland,800,0,2017
Switzerland,900,0,2017
Switzerland,1500,0,2017
Switzerland,1800,0,2017
Switzerland,2100,0,2017
Switzerland,2300,0,2017
Switzerland,2600,0,2017
Switzerland,3400,0,2017
Switzerland,3600,0,2017
Thailand,700,0,2017
Thailand,800,0,2017
Thailand,900,0,2017
Thailand,1500,0,2017
Thailand,1800,0,2017
Thailand,2100,0,2017
Thailand,2300,0,2017
Thailand,2600,0,2017
Thailand,3400,0,2017
Thailand,3600,0,2017
Turkey,700,0,2017
Turkey,800,0,2017
Turkey,900,0,2017
Turkey,1500,0,2017
Turkey,1800,0,2017
Turkey,2100,0,2017
Turkey,2300,0,2017
Turkey,2600,0,2017
Turkey,3400,0,2017
Turkey,3600,0,2017
Ukraine,700,0,2017
Ukraine,800,0,2017
Ukraine,900,0,2017
Ukraine,1500,0,2017
Ukraine,1800,0,2017
Ukraine,2100,0,2017
Ukraine,2300,0,2017
Ukraine,2600,0,2017
Ukraine,3400,0,2017
Ukraine,3600,0,2017
United Kingdom,700,0,2017
United Kingdom,800,0,2017
United Kingdom,900,0,2017
United Kingdom,1500,0,2017
United Kingdom,1800,0,2017
United Kingdom,2100,0,2017
United Kingdom,2300,0,2017
United Kingdom,2600,0,2017
United Kingdom,3400,0,2017
United Kingdom,3600,0,2017
Uruguay,700,0,2017
Uruguay,800,0,2017
Uruguay,900,0,2017
Uruguay,1500,0,2017
Uruguay,1800,0,2017
Uruguay,2100,0,2017
Uruguay,2300,0,2017
Uruguay,2600,0,2017
Uruguay,3400,0,2017
Uruguay,3600,0,2017
Albania,700,0,2016
Albania,800,0,2016
Albania,900,0,2016
Albania,1500,0,2016
Albania,1800,0,2016
Albania,2100,0,2016
Albania,2300,0,2016
Albania,2600,0,2016
Albania,3400,0,2016
Albania,3600,0,2016
Algeria,700,0,2016
Algeria,800,0,2016
Algeria,900,0,2016
Algeria,1500,0,2016
Algeria,1800,0,2016
Algeria,2100,0,2016
Algeria,2300,0,2016
Algeria,2600,0,2016
Algeria,3400,0,2016
Algeria,3600,0,2016
Argentina,700,0,2016
Argentina,800,0,2016
Argentina,900,0,2016
Argentina,1500,0,2016
Argentina,1800,0,2016
Argentina,2100,0,2016
Argentina,2300,0,2016
Argentina,2600,0,2016
Argentina,3400,0,2016
Argentina,3600,0,2016
Australia,700,0,2016
Australia,800,0,2016
Australia,900,0,2016
Australia,1500,0,2016
Australia,1800,0,2016
Australia,2100,0,2016
Australia,2300,0,2016
Australia,2600,0,2016
Australia,3400,0,2016
Australia,3600,0,2016
Bangladesh,700,0,2016
Bangladesh,800,0,2016
Bangladesh,900,0,2016
Bangladesh,1500,0,2016
Bangladesh,1800,0,2016
Bangladesh,2100,0,2016
Bangladesh,2300,0,2016
Bangladesh,2600,0,2016
Bangladesh,3400,0,2016
Bangladesh,3600,0,2016
Belgium,700,0,2016
Belgium,800,0,2016
Belgium,900,0,2016
Belgium,1500,0,2016
Belgium,1800,0,2016
Belgium,2100,0,2016
Belgium,2300,0,2016
Belgium,2600,0,2016
Belgium,3400,0,2016
Belgium,3600,0,2016
Brazil,700,0,2016
Brazil,800,0,2016
Brazil,900,0,2016
Brazil,1500,0,2016
Brazil,1800,0,2016
Brazil,2100,0,2016
Brazil,2300,0,2016
Brazil,2600,0,2016
Brazil,3400,0,2016
Brazil,3600,0,2016
Bulgaria,700,0,2016
Bulgaria,800,0,2016
Bulgaria,900,0,2016
Bulgaria,1500,0,2016
Bulgaria,1800,0,2016
Bulgaria,2100,0,2016
Bulgaria,2300,0,2016
Bulgaria,2600,0,2016
Bulgaria,3400,0,2016
Bulgaria,3600,0,2016
Chile,700,0,2016
Chile,800,0,2016
Chile,900,0,2016
Chile,1500,0,2016
Chile,1800,0,2016
Chile,2100,0,2016
Chile,2300,0,2016
Chile,2600,0,2016
Chile,3400,0,2016
Chile,3600,0,2016
Colombia,700,0,2016
Colombia,800,0,2016
Colombia,900,0,2016
Colombia,1500,0,2016
Colombia,1800,0,2016
Colombia,2100,0,2016
Colombia,2300,0,2016
Colombia,2600,0,2016
Colombia,3400,0,2016
Colombia,3600,0,2016
Costa Rica,700,0,2016
Costa Rica,800,0,2016
Costa Rica,900,0,2016
Costa Rica,1500,0,2016
Costa Rica,1800,0,2016
Costa Rica,2100,0,2016
Costa Rica,2300,0,2016
Costa Rica,2600,0,2016
Costa Rica,3400,0,2016
Costa Rica,3600,0,2016
Croatia,700,0,2016
Croatia,800,0,2016
Croatia,900,0,2016
Croatia,1500,0,2016
Croatia,1800,0,2016
Croatia,2100,0,2016
Croatia,2300,0,2016
Croatia,2600,0,2016
Croatia,3400,0,2016
Croatia,3600,0,2016
Cyprus,700,0,2016
Cyprus,800,0.112007794,2016
Cyprus,900,0,2016
Cyprus,1500,0,2016
Cyprus,1800,0,2016
Cyprus,2100,0,2016
Cyprus,2300,0,2016
Cyprus,2600,0,2016
Cyprus,3400,0,2016
Cyprus,3600,0,2016
Czech Republic,700,0,2016
Czech Republic,800,0,2016
Czech Republic,900,0,2016
Czech Republic,1500,0,2016
Czech Republic,1800,0.319403004,2016
Czech Republic,2100,0,2016
Czech Republic,2300,0,2016
Czech Republic,2600,0.145162161,2016
Czech Republic,3400,0,2016
Czech Republic,3600,0,2016
Denmark,700,0,2016
Denmark,800,0,2016
Denmark,900,0,2016
Denmark,1500,0,2016
Denmark,1800,0.206677002,2016
Denmark,2100,0,2016
Denmark,2300,0,2016
Denmark,2600,0,2016
Denmark,3400,0,2016
Denmark,3600,0,2016
Dominican Republic,700,0,2016
Dominican Republic,800,0,2016
Dominican Republic,900,0,2016
Dominican Republic,1500,0,2016
Dominican Republic,1800,0,2016
Dominican Republic,2100,0,2016
Dominican Republic,2300,0,2016
Dominican Republic,2600,0,2016
Dominican Republic,3400,0,2016
Dominican Republic,3600,0,2016
Ecuador,700,0,2016
Ecuador,800,0,2016
Ecuador,900,0,2016
Ecuador,1500,0,2016
Ecuador,1800,0,2016
Ecuador,2100,0,2016
Ecuador,2300,0,2016
Ecuador,2600,0,2016
Ecuador,3400,0,2016
Ecuador,3600,0,2016
Estonia,700,0,2016
Estonia,800,0,2016
Estonia,900,0,2016
Estonia,1500,0,2016
Estonia,1800,0,2016
Estonia,2100,0,2016
Estonia,2300,0,2016
Estonia,2600,0,2016
Estonia,3400,0,2016
Estonia,3600,0,2016
Fiji,700,0,2016
Fiji,800,0,2016
Fiji,900,0,2016
Fiji,1500,0,2016
Fiji,1800,0,2016
Fiji,2100,0,2016
Fiji,2300,0,2016
Fiji,2600,0,2016
Fiji,3400,0,2016
Fiji,3600,0,2016
Finland,700,0.227653346,2016
Finland,800,0,2016
Finland,900,0,2016
Finland,1500,0,2016
Finland,1800,0,2016
Finland,2100,0,2016
Finland,2300,0,2016
Finland,2600,0,2016
Finland,3400,0,2016
Finland,3600,0,2016
France,700,0,2016
France,800,0,2016
France,900,0,2016
France,1500,0,2016
France,1800,0,2016
France,2100,0,2016
France,2300,0,2016
France,2600,0,2016
France,3400,0,2016
France,3600,0,2016
Georgia,700,0,2016
Georgia,800,0,2016
Georgia,900,0,2016
Georgia,1500,0,2016
Georgia,1800,0,2016
Georgia,2100,0,2016
Georgia,2300,0,2016
Georgia,2600,0,2016
Georgia,3400,0,2016
Georgia,3600,0,2016
Germany,700,0,2016
Germany,800,0,2016
Germany,900,0,2016
Germany,1500,0,2016
Germany,1800,0,2016
Germany,2100,0,2016
Germany,2300,0,2016
Germany,2600,0,2016
Germany,3400,0,2016
Germany,3600,0,2016
Greece,700,0,2016
Greece,800,0,2016
Greece,900,0,2016
Greece,1500,0,2016
Greece,1800,0,2016
Greece,2100,0,2016
Greece,2300,0,2016
Greece,2600,0,2016
Greece,3400,0,2016
Greece,3600,0,2016
Honduras,700,0,2016
Honduras,800,0,2016
Honduras,900,0,2016
Honduras,1500,0,2016
Honduras,1800,0,2016
Honduras,2100,0,2016
Honduras,2300,0,2016
Honduras,2600,0,2016
Honduras,3400,0,2016
Honduras,3600,0,2016
Hong Kong China,700,0,2016
Hong Kong China,800,0,2016
Hong Kong China,900,0,2016
Hong Kong China,1500,0,2016
Hong Kong China,1800,0,2016
Hong Kong China,2100,0,2016
Hong Kong China,2300,0,2016
Hong Kong China,2600,0,2016
Hong Kong China,3400,0,2016
Hong Kong China,3600,0,2016
Hungary,700,0,2016
Hungary,800,0,2016
Hungary,900,0,2016
Hungary,1500,0,2016
Hungary,1800,0,2016
Hungary,2100,0,2016
