Circle,Day,700 Mhz,800 Mhz,900 Mhz,1800 Mhz,2100 Mhz,2300 Mhz,2500 Mhz,,700 Mhzr,800 Mhzr,900 Mhzr,1800 Mhzr,2100 Mhzr,2300 Mhzr,2500 Mhzr
Andhra Pradesh,0,0,0,0,0,0,0,0,,4855,757.5,0,48.6,1360,680,680
Assam,0,0,0,0,0,0,0,0,,790,0,0,8,230,20,20
Bihar,0,0,0,0,0,0,0,0,,1240,170,88.8,12.4,430,60,60
Delhi,0,0,0,0,0,0,0,0,,7975,1060,134.6,79.8,2770,1430,1430
Gujarat,0,0,0,0,0,0,0,0,,4760,356.25,0,47.6,1290,390,390
Haryana,0,0,0,0,0,0,0,0,,930,71.25,0,9.4,275,0,80
Himachal Pradesh,0,0,0,0,0,0,0,0,,320,30,0,3.2,100,10,10
J&K,0,0,0,0,0,0,0,0,,260,0,0,2.6,55,0,10
Karnataka,0,0,0,0,0,0,0,0,,3700,378.75,0,37,1640,980,980
Kerala,0,0,0,0,0,0,0,0,,1670,303.75,0,16.6,885,160,160
Kolkata,0,0,0,0,0,0,0,0,,2980,200,0,29.8,580,330,330
MP,0,0,0,0,0,0,0,0,,1655,5100,0,16.6,615,80,80
Maharashtra,0,0,0,0,0,0,0,0,,6360,998.75,0,63.6,1705,580,580
Mumbai,0,0,0,0,0,0,0,0,,5960,908.75,0,59.6,2305,1460,1460
North East,0,0,0,0,0,0,0,0,,220,0,0,2.2,60,10,10
Odisha,0,0,0,0,0,0,0,0,,760,71.25,0,7.6,190,40,40
Punjab,0,0,0,0,0,0,0,0,,1540,148.75,0,15.4,455,0,210
Rajasthan,0,0,0,0,0,0,0,0,,1820,255,0,18.2,700,0,60
Tamil Nadu. Chennai,0,0,0,0,0,0,0,0,,4500,450,0,0,1720,1320,1320
UP(E),0,0,0,0,0,0,0,0,,2295,2773.75,155.2,23,550,0,90
UP(W),0,0,0,0,0,0,0,0,,1920,227.5,147.8,19.2,555,0,120
"WB, A&N",0,0,0,0,0,0,0,0,,915,102.5,0,9.2,260,50,50
Andhra Pradesh,1,0,0,0,48.6,0,680,0,,4855,757.5,0,48.6,1360,680,680
Assam,1,0,0,0,8,0,20,0,,790,0,0,8,230,20,20
Bihar,1,0,0,0,12.4,430,60.3,0,,1240,170,88.8,12.4,430,60,60
Delhi,1,0,0,0,79.8,2770,1430,1430,,7975,1060,134.6,79.8,2770,1430,1430
Gujarat,1,0,366.93,0,47.6,0,437.62,390,,4760,356.25,0,47.6,1290,390,390
Haryana,1,0,0,0,9.72,0,0,0,,930,71.25,0,9.4,275,0,80
Himachal Pradesh,1,0,0,0,3.2,0,10,0,,320,30,0,3.2,100,10,10
J&K,1,0,0,0,2.6,55,0,0,,260,0,0,2.6,55,0,10
Karnataka,1,0,0,0,0,0,980,0,,3700,378.75,0,37,1640,980,980
Kerala,1,0,0,0,16.6,885,170.52,160,,1670,303.75,0,16.6,885,160,160
Kolkata,1,0,0,0,30.08,0,330,330,,2980,200,0,29.8,580,330,330
MP,1,0,0,0,16.6,0,81.6,0,,1655,5100,0,16.6,615,80,80
Maharashtra,1,0,0,0,63.6,0,615.1,580,,6360,998.75,0,63.6,1705,580,580
Mumbai,1,0,0,0,69.68,0,1460,1460,,5960,908.75,0,59.6,2305,1460,1460
North East,1,0,0,0,2.2,0,10,0,,220,0,0,2.2,60,10,10
Odisha,1,0,0,0,0,190,40,0,,760,71.25,0,7.6,190,40,40
Punjab,1,0,148.75,0,15.4,455,0,0,,1540,148.75,0,15.4,455,0,210
Rajasthan,1,0,255,0,18.38,700,0,60,,1820,255,0,18.2,700,0,60
Tamil Nadu. Chennai,1,0,0,0,0,1720,1320,0,,4500,450,0,0,1720,1320,1320
UP(E),1,0,273.75,0,23,550,0,90,,2295,2773.75,155.2,23,550,0,90
UP(W),1,0,0,0,19.48,0,0,120,,1920,227.5,147.8,19.2,555,0,120
"WB, A&N",1,0,0,0,9.2,0,50,0,,915,102.5,0,9.2,260,50,50
Andhra Pradesh,2,0,0,0,48.6,0,680,0,,4855,757.5,0,48.6,1360,680,680
Assam,2,0,0,0,8,0,20,0,,790,0,0,8,230,20,20
Bihar,2,0,0,0,12.4,430,60.9,0,,1240,170,88.8,12.4,430,60,60
Delhi,2,0,0,0,79.8,2770,1430,1430,,7975,1060,134.6,79.8,2770,1430,1430
Gujarat,2,0,393.21,0,47.6,0,546.79,390,,4760,356.25,0,47.6,1290,390,390
Haryana,2,0,0,0,9.86,0,0,0,,930,71.25,0,9.4,275,0,80
Himachal Pradesh,2,0,0,0,3.2,0,10,0,,320,30,0,3.2,100,10,10
J&K,2,0,0,0,2.6,55,0,0,,260,0,0,2.6,55,0,10
Karnataka,2,0,0,0,0,0,980,0,,3700,378.75,0,37,1640,980,980
Kerala,2,0,0,0,16.6,885,173.08,160,,1670,303.75,0,16.6,885,160,160
Kolkata,2,0,0,0,30.23,0,330,330,,2980,200,0,29.8,580,330,330
MP,2,0,0,0,16.6,0,81.6,0,,1655,5100,0,16.6,615,80,80
Maharashtra,2,0,0,0,63.6,1705,621.26,580,,6360,998.75,0,63.6,1705,580,580
Mumbai,2,0,0,0,82.74,0,1460,1460,,5960,908.75,0,59.6,2305,1460,1460
North East,2,0,0,0,2.2,0,10,0,,220,0,0,2.2,60,10,10
Odisha,2,0,0,0,0,190,40,0,,760,71.25,0,7.6,190,40,40
Punjab,2,0,148.75,0,15.4,455,0,60,,1540,148.75,0,15.4,455,0,210
Rajasthan,2,0,255,0,18.38,700,0,0,,1820,255,0,18.2,700,0,60
Tamil Nadu. Chennai,2,0,0,0,0,1720,1320,90,,4500,450,0,0,1720,1320,1320
UP(E),2,0,273.75,0,23.69,550,0,120,,2295,2773.75,155.2,23,550,0,90
UP(W),2,0,0,0,20.06,0,0,50,,1920,227.5,147.8,19.2,555,0,120
"WB, A&N",2,0,0,0,9.2,0,50,0,,915,102.5,0,9.2,260,50,50
Andhra Pradesh,3,0,0,0,48.6,0,683.4,680,,4855,757.5,0,48.6,1360,680,680
Assam,3,0,0,0,8,0,20,20,,790,0,0,8,230,20,20
Bihar,3,0,0,0,12.4,430,61.5,0,,1240,170,88.8,12.4,430,60,60
Delhi,3,0,0,0,79.8,2770,1430,1430,,7975,1060,134.6,79.8,2770,1430,1430
Gujarat,3,0,419.31,0,47.6,0,611.88,390,,4760,356.25,0,47.6,1290,390,390
Haryana,3,0,0,0,9.86,275,0,80,,930,71.25,0,9.4,275,0,80
Himachal Pradesh,3,0,0,0,3.2,0,10,10,,320,30,0,3.2,100,10,10
J&K,3,0,0,0,2.6,55,0,10,,260,0,0,2.6,55,0,10
Karnataka,3,0,0,0,0,0,980,0,,3700,378.75,0,37,1640,980,980
Kerala,3,0,0,0,16.6,885,175.67,160.8,,1670,303.75,0,16.6,885,160,160
Kolkata,3,0,0,0,30.23,0,330,330,,2980,200,0,29.8,580,330,330
MP,3,0,0,0,16.6,0,82,80,,1655,5100,0,16.6,615,80,80
Maharashtra,3,0,0,0,63.6,1705,630.61,580,,6360,998.75,0,63.6,1705,580,580
Mumbai,3,0,0,0,88.65,0,1460,1460,,5960,908.75,0,59.6,2305,1460,1460
North East,3,0,0,0,2.2,0,10,10,,220,0,0,2.2,60,10,10
Odisha,3,0,0,0,0,190,40,0,,760,71.25,0,7.6,190,40,40
Punjab,3,0,156.29,0,15.4,455,0,210,,1540,148.75,0,15.4,455,0,210
Rajasthan,3,0,273.24,0,18.38,700,0,60,,1820,255,0,18.2,700,0,60
Tamil Nadu. Chennai,3,0,0,0,0,1720,1320,0,,4500,450,0,0,1720,1320,1320
UP(E),3,0,273.75,0,24.51,550,0,90,,2295,2773.75,155.2,23,550,0,90
UP(W),3,0,0,0,20.06,0,0,120,,1920,227.5,147.8,19.2,555,0,120
"WB, A&N",3,0,0,0,9.2,0,50,50,,915,102.5,0,9.2,260,50,50
Andhra Pradesh,4,0,0,0,48.6,0,683.4,680,,4855,757.5,0,48.6,1360,680,680
Assam,4,0,0,0,8,0,20,20,,790,0,0,8,230,20,20
Bihar,4,0,0,0,12.4,430,61.5,60,,1240,170,88.8,12.4,430,60,60
Delhi,4,0,0,0,79.8,2770,1430,1430,,7975,1060,134.6,79.8,2770,1430,1430
Gujarat,4,0,419.31,0,47.6,0,611.88,390,,4760,356.25,0,47.6,1290,390,390
Haryana,4,0,0,0,9.86,275,0,80,,930,71.25,0,9.4,275,0,80
Himachal Pradesh,4,0,0,0,3.2,0,10,10,,320,30,0,3.2,100,10,10
J&K,4,0,0,0,2.6,55,0,10,,260,0,0,2.6,55,0,10
Karnataka,4,0,0,0,0,0,980,0,,3700,378.75,0,37,1640,980,980
Kerala,4,0,0,0,16.6,885,175.67,160.8,,1670,303.75,0,16.6,885,160,160
Kolkata,4,0,0,0,30.23,0,330,330,,2980,200,0,29.8,580,330,330
MP,4,0,0,0,16.6,0,82,80,,1655,5100,0,16.6,615,80,80
Maharashtra,4,0,0,0,63.6,1705,630.61,580,,6360,998.75,0,63.6,1705,580,580
Mumbai,4,0,0,0,93.13,0,1460,1460,,5960,908.75,0,59.6,2305,1460,1460
North East,4,0,0,0,2.2,0,10,10,,220,0,0,2.2,60,10,10
Odisha,4,0,0,0,0,190,40,0,,760,71.25,0,7.6,190,40,40
Punjab,4,0,161,0,15.4,455,0,210,,1540,148.75,0,15.4,455,0,210
Rajasthan,4,0,285.7,0,18.38,700,0,60,,1820,255,0,18.2,700,0,60
Tamil Nadu. Chennai,4,0,0,0,0,1720,1320,0,,4500,450,0,0,1720,1320,1320
UP(E),4,0,273.75,0,25.61,550,0,90,,2295,2773.75,155.2,23,550,0,90
UP(W),4,0,0,0,20.06,0,0,120,,1920,227.5,147.8,19.2,555,0,120
"WB, A&N",4,0,0,0,9.2,0,50,50,,915,102.5,0,9.2,260,50,50
Andhra Pradesh,5,0,0,0,48.6,0,683.4,680,,4855,757.5,0,48.6,1360,680,680
Assam,5,0,0,0,8,0,20,20,,790,0,0,8,230,20,20
Bihar,5,0,0,0,12.4,430,61.5,60,,1240,170,88.8,12.4,430,60,60
Delhi,5,0,0,0,79.8,2770,1430,1430,,7975,1060,134.6,79.8,2770,1430,1430
Gujarat,5,0,419.31,0,47.6,0,611.88,390,,4760,356.25,0,47.6,1290,390,390
Haryana,5,0,0,0,9.86,275,0,80,,930,71.25,0,9.4,275,0,80
Himachal Pradesh,5,0,0,0,3.2,0,10,10,,320,30,0,3.2,100,10,10
J&K,5,0,0,0,2.6,55,0,10,,260,0,0,2.6,55,0,10
Karnataka,5,0,0,0,0,0,980,0,,3700,378.75,0,37,1640,980,980
Kerala,5,0,0,0,16.6,885,175.67,160.8,,1670,303.75,0,16.6,885,160,160
Kolkata,5,0,0,0,30.23,0,330,330,,2980,200,0,29.8,580,330,330
MP,5,0,0,0,16.6,0,82,80,,1655,5100,0,16.6,615,80,80
Maharashtra,5,0,0,0,63.6,1705,630.61,580,,6360,998.75,0,63.6,1705,580,580
Mumbai,5,0,0,0,97.84,2305,1460,1460,,5960,908.75,0,59.6,2305,1460,1460
North East,5,0,0,0,2.2,0,10,10,,220,0,0,2.2,60,10,10
Odisha,5,0,0,0,0,190,40,40,,760,71.25,0,7.6,190,40,40
Punjab,5,0,170.86,0,15.4,455,0,210,,1540,148.75,0,15.4,455,0,210
Rajasthan,5,0,289.98,0,18.38,700,0,60,,1820,255,0,18.2,700,0,60
Tamil Nadu. Chennai,5,0,0,0,0,1720,1320,0,,4500,450,0,0,1720,1320,1320
UP(E),5,0,273.75,0,26.63,550,0,90,,2295,2773.75,155.2,23,550,0,90
UP(W),5,0,0,0,20.06,0,0,120,,1920,227.5,147.8,19.2,555,0,120
"WB, A&N",5,0,0,0,9.2,0,50,50,,915,102.5,0,9.2,260,50,50
