Day,Area,Price1,Band,Demand,Excess Demand,Provisional Price,Price Increment Applicable,lat,long,Price
17,Kolkata,185.58,800,0,-1,183.75,0,22.56263,88.36304,147
17,Madhya Pradesh,510.49,800,4,-1,510.49,0,23.3,80,408.392
17,Maharashtra,960.48,800,2,-1,960.48,0,20,76,768.384
17,Mumbai,918.46,800,0,-6,909.37,0,19.07283,72.88261,727.496
17,North East,31.72,800,4,-7,31.41,0,28,95,25.128
17,Odisha,53.86,800,0,-6,51.3,0,26,94.2,41.04
17,Punjab,112.67,800,0,-3,107.31,0,30.8,75.5,85.848
17,Tamil Nadu,450,800,0,-1,0,0,11,78,0
17,Uttar Pradesh E,167.5,800,3,0,167.5,1.67,26,82,134
17,Uttar Pradesh W,118.75,800,0,-1,0,0,28,80,0
17,West Bengal,71.96,800,0,-1,71.25,0,23,87,57
18,Andhra Pradesh,757.48,800,0,-5,742.63,0,16,80,594.104
18,Assam,103.79,800,4,-7,102.77,0,26.2006043,92.9375739,82.216
18,Bihar,108.38,800,0,-4,107.31,0,25.11,85.32,85.848
18,Delhi,1049.13,800,1,-2,1049.13,0,28.38,77.12,839.304
18,Gujarat,350.65,800,0,-2,347.18,0,23,72,277.744
18,Haryana,77.07,800,1,-5,70.71,0,29.3,76,56.568
18,Himachal Pradesh,26.66,800,0,-7,24.46,0,31.79,77.1,19.568
18,Kashmir,36.05,800,2,-5,35.35,0,33.94,76.54,28.28
18,Karnataka,378.75,800,0,-1,0,0,15,75,0
18,Kolkata,185.58,800,0,-1,183.75,0,22.56263,88.36304,147
18,Madhya Pradesh,510.49,800,4,-1,510.49,0,23.3,80,408.392
18,Maharashtra,979.68,800,2,-1,979.68,0,20,76,783.744
18,Mumbai,918.46,800,0,-6,909.37,0,19.07283,72.88261,727.496
18,North East,31.72,800,8,-3,31.72,0,28,95,25.376
18,Odisha,53.86,800,0,-6,51.3,0,26,94.2,41.04
18,Punjab,112.67,800,0,-3,107.31,0,30.8,75.5,85.848
18,Tamil Nadu,450,800,0,-1,0,0,11,78,0
18,Uttar Pradesh E,169.17,800,0,-3,167.5,0,26,82,134
18,Uttar Pradesh W,119.93,800,0,-1,118.75,0,28,80,95
18,West Bengal,71.96,800,0,-1,71.25,0,23,87,57
19,Andhra Pradesh,772.62,800,0,-5,757.48,0,16,80,605.984
19,Assam,103.79,800,4,-7,102.77,0,26.2006043,92.9375739,82.216
19,Bihar,108.38,800,0,-4,107.31,0,25.11,85.32,85.848
19,Delhi,1059.62,800,1,-2,1059.62,0,28.38,77.12,847.696
19,Gujarat,350.65,800,0,-2,347.18,0,23,72,277.744
19,Haryana,77.07,800,1,-5,70.71,0,29.3,76,56.568
19,Himachal Pradesh,26.66,800,0,-7,24.46,0,31.79,77.1,19.568
19,Kashmir,36.05,800,2,-5,35.35,0,33.94,76.54,28.28
19,Karnataka,378.75,800,0,-1,0,0,15,75,0
19,Kolkata,185.58,800,0,-1,183.75,0,22.56263,88.36304,147
19,Madhya Pradesh,510.49,800,4,-1,510.49,0,23.3,80,408.392
19,Maharashtra,999.27,800,2,-1,999.27,0,20,76,799.416
19,Mumbai,918.46,800,0,-6,909.37,0,19.07283,72.88261,727.496
19,North East,31.72,800,8,-3,31.72,0,28,95,25.376
19,Odisha,53.86,800,0,-6,51.3,0,26,94.2,41.04
19,Punjab,112.67,800,0,-3,107.31,0,30.8,75.5,85.848
19,Tamil Nadu,450,800,0,-1,0,0,11,78,0
19,Uttar Pradesh E,169.17,800,0,-3,167.5,0,26,82,134
19,Uttar Pradesh W,119.93,800,0,-1,118.75,0,28,80,95
19,West Bengal,71.96,800,0,-1,71.25,0,23,87,57
1,Andhra Pradesh,144.31,900,50,-20,126.07,0,16,80,115.448
1,Assam,18.34,900,6,-25,17.13,0,26.2006043,92.9375739,14.672
1,Bihar,53.77,900,31,0,42.24,0.42,25.11,85.32,43.016
1,Gujarat,119.68,900,63,-7,119.68,0,23,72,95.744
1,Haryana,19.52,900,50,-12,16.91,0,29.3,76,15.616
1,Himachal Pradesh,9.47,900,92,30,8.44,0.5,31.79,77.1,7.576
1,Karnataka,90.9,900,25,-45,80.85,0,15,75,72.72
1,Kerala,42.79,900,50,-12,37.04,0,10,76.25,34.232
1,Madhya Pradesh,47.16,900,50,-12,44.04,0,23.3,80,37.728
1,Maharashtra,151.56,900,60,-10,137.53,0,20,76,121.248
1,North East,5.85,900,0,-44,5.85,0,28,95,4.68
1,Odisha,24.02,900,62,31,20.98,1.46,26,94.2,19.216
1,Punjab,66.11,900,103,25,44.64,2.23,30.8,75.5,52.888
1,Rajasthan,65.13,900,62,0,47.87,0.47,27,74,52.104
1,Uttar Pradesh E,58.65,900,50,19,58.65,2.34,26,82,46.92
1,Uttar Pradesh W,54.74,900,137,106,54.74,5.47,28,80,43.792
1,West Bengal,22.64,900,0,-22,22.42,0,23,87,18.112
2,Andhra Pradesh,144.31,900,25,-45,136.15,0,16,80,115.448
2,Assam,18.34,900,6,-25,17.99,0,26.2006043,92.9375739,14.672
2,Bihar,53.77,900,81,50,53.77,5.37,25.11,85.32,43.016
2,Gujarat,119.68,900,88,18,119.68,4.78,23,72,95.744
2,Haryana,19.52,900,75,13,19.52,0.58,29.3,76,15.616
2,Himachal Pradesh,9.47,900,61,-1,9.47,0,31.79,77.1,7.576
2,Karnataka,90.9,900,50,-20,90.9,0,15,75,72.72
2,Kerala,42.79,900,106,44,42.79,3.85,10,76.25,34.232
2,Madhya Pradesh,47.16,900,25,-37,46.7,0,23.3,80,37.728
2,Maharashtra,151.56,900,25,-45,141.65,0,20,76,121.248
2,North East,5.85,900,0,-44,5.8,0,28,95,4.68
2,Odisha,24.02,900,25,-6,24.02,0,26,94.2,19.216
2,Punjab,66.11,900,77,-1,66.11,0,30.8,75.5,52.888
2,Rajasthan,65.13,900,102,40,65.13,5.21,27,74,52.104
2,Uttar Pradesh E,62.82,900,62,31,62.82,4.39,26,82,50.256
2,Uttar Pradesh W,88.14,900,61,30,88.14,5.28,28,80,70.512
2,West Bengal,22.64,900,22,0,22.64,0.22,23,87,18.112
3,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,115.448
3,Assam,18.52,900,25,-6,18.34,0,26.2006043,92.9375739,14.816
3,Bihar,80.56,900,6,-25,76.73,0,25.11,85.32,64.448
3,Gujarat,129.43,900,88,18,129.43,5.17,23,72,103.544
3,Haryana,23.68,900,81,19,23.68,0.94,29.3,76,18.944
3,Himachal Pradesh,9.47,900,61,-1,9.47,0,31.79,77.1,7.576
3,Karnataka,105.19,900,100,30,105.19,6.31,15,75,84.152
3,Kerala,67.78,900,60,-2,67.78,0,10,76.25,54.224
3,Madhya Pradesh,53.06,900,75,13,53.06,1.59,23.3,80,42.448
3,Maharashtra,151.56,900,31,-39,141.65,0,20,76,121.248
3,North East,5.85,900,0,-44,5.8,0,28,95,4.68
3,Odisha,27.53,900,6,-25,26.48,0,26,94.2,22.024
3,Punjab,66.11,900,77,-1,66.11,0,30.8,75.5,52.888
3,Rajasthan,74.63,900,25,-37,73.9,0,27,74,59.704
3,Uttar Pradesh E,75.57,900,56,25,75.57,3.77,26,82,60.456
3,Uttar Pradesh W,99.02,900,25,-6,99.02,0,28,80,79.216
3,West Bengal,24,900,22,0,24,0.24,23,87,19.2
4,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,115.448
4,Assam,20.42,900,50,19,20.42,0.81,26.2006043,92.9375739,16.336
4,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,65.088
4,Gujarat,146.71,900,25,-45,134.6,0,23,72,117.368
4,Haryana,27.68,900,25,-37,26.88,0,29.3,76,22.144
4,Himachal Pradesh,10.43,900,86,24,10.43,0.52,31.79,77.1,8.344
4,Karnataka,122.65,900,44,-26,111.5,0,15,75,98.12
4,Kerala,74.61,900,30,-32,73.88,0,10,76.25,59.688
4,Madhya Pradesh,61.9,900,50,-12,61.9,0,23.3,80,49.52
4,Maharashtra,151.56,900,35,-35,141.65,0,20,76,121.248
4,North East,5.85,900,0,-44,5.8,0,28,95,4.68
4,Odisha,28.91,900,6,-25,27.8,0,26,94.2,23.128
4,Punjab,67.43,900,51,-27,66.77,0,30.8,75.5,53.944
4,Rajasthan,78.36,900,0,-62,74.63,0,27,74,62.688
4,Uttar Pradesh E,88.14,900,25,-6,88.14,0,26,82,70.512
4,Uttar Pradesh W,105,900,25,-6,105,0,28,80,84
4,West Bengal,25.45,900,22,0,25.45,0.25,23,87,20.36
5,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,115.448
5,Assam,22.29,900,6,-25,21.44,0,26.2006043,92.9375739,17.832
5,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,65.088
5,Gujarat,146.71,900,30,-40,134.6,0,23,72,117.368
5,Haryana,28.51,900,75,13,28.51,0.85,29.3,76,22.808
5,Himachal Pradesh,11.49,900,61,-1,11.49,0,31.79,77.1,9.192
5,Karnataka,122.65,900,44,-26,111.5,0,15,75,98.12
5,Kerala,74.61,900,30,-32,73.88,0,10,76.25,59.688
5,Madhya Pradesh,64.99,900,0,-62,61.9,0,23.3,80,51.992
5,Maharashtra,153.07,900,45,-25,151.56,0,20,76,122.456
5,North East,5.85,900,0,-44,5.8,0,28,95,4.68
5,Odisha,28.91,900,6,-25,27.8,0,26,94.2,23.128
5,Punjab,67.43,900,51,-27,66.77,0,30.8,75.5,53.944
5,Rajasthan,78.36,900,0,-62,74.63,0,27,74,62.688
5,Uttar Pradesh E,88.14,900,25,-6,88.14,0,26,82,70.512
5,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,88.2
5,West Bengal,27.24,900,22,0,27.24,0.27,23,87,21.792
6,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,115.448
6,Assam,23.64,900,50,19,23.64,0.94,26.2006043,92.9375739,18.912
6,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,65.088
6,Gujarat,146.71,900,30,-40,134.6,0,23,72,117.368
6,Haryana,30.24,900,26,-36,29.36,0,29.3,76,24.192
6,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,9.28
6,Karnataka,122.65,900,44,-26,111.5,0,15,75,98.12
6,Kerala,74.61,900,30,-32,73.88,0,10,76.25,59.688
6,Madhya Pradesh,64.99,900,0,-62,61.9,0,23.3,80,51.992
6,Maharashtra,154.6,900,0,-70,153.07,0,20,76,123.68
6,North East,6.3,900,69,25,6.3,0.31,28,95,5.04
6,Odisha,28.91,900,6,-25,27.8,0,26,94.2,23.128
6,Punjab,72.15,900,89,11,72.15,2.16,30.8,75.5,57.72
6,Rajasthan,86.19,900,77,15,86.19,2.58,27,74,68.952
6,Uttar Pradesh E,88.14,900,26,-5,88.14,0,26,82,70.512
6,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,88.2
6,West Bengal,28.61,900,44,22,28.61,1.43,23,87,22.888
7,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,115.448
7,Assam,27.66,900,46,15,27.66,0.82,26.2006043,92.9375739,22.128
7,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,65.088
7,Gujarat,146.71,900,30,-40,134.6,0,23,72,117.368
7,Haryana,30.24,900,28,-34,29.36,0,29.3,76,24.192
7,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,9.28
7,Karnataka,122.65,900,44,-26,111.5,0,15,75,98.12
7,Kerala,74.61,900,30,-32,73.88,0,10,76.25,59.688
7,Madhya Pradesh,64.99,900,0,-62,61.9,0,23.3,80,51.992
7,Maharashtra,154.6,900,0,-70,153.07,0,20,76,123.68
7,North East,9.16,900,50,6,9.16,0.18,28,95,7.328
7,Odisha,28.91,900,6,-25,27.8,0,26,94.2,23.128
7,Punjab,74.31,900,74,-4,72.15,0,30.8,75.5,59.448
7,Rajasthan,90.54,900,64,2,90.54,0.9,27,74,72.432
7,Uttar Pradesh E,88.14,900,29,-2,88.14,0,26,82,70.512
7,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,88.2
7,West Bengal,31.55,900,22,0,31.55,0.31,23,87,25.24
8,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,115.448
8,Assam,35.92,900,18,-13,35.92,0,26.2006043,92.9375739,28.736
8,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,65.088
8,Gujarat,146.71,900,30,-40,134.6,0,23,72,117.368
8,Haryana,30.24,900,28,-34,29.36,0,29.3,76,24.192
8,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,9.28
8,Karnataka,122.65,900,44,-26,111.5,0,15,75,98.12
8,Kerala,74.61,900,30,-32,73.88,0,10,76.25,59.688
8,Madhya Pradesh,64.99,900,0,-62,61.9,0,23.3,80,51.992
8,Maharashtra,154.6,900,0,-70,153.07,0,20,76,123.68
8,North East,10.28,900,44,0,10.28,0.1,28,95,8.224
8,Odisha,28.91,900,6,-25,27.8,0,26,94.2,23.128
8,Punjab,74.31,900,74,-4,72.15,0,30.8,75.5,59.448
8,Rajasthan,91.44,900,0,-62,90.54,0,27,74,73.152
8,Uttar Pradesh E,88.14,900,29,-2,88.14,0,26,82,70.512
8,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,88.2
8,West Bengal,33.46,900,22,0,33.46,0.33,23,87,26.768
9,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,680.75
9,Assam,37.35,900,0,-31,36.99,0,26.2006043,92.9375739,184.95
9,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,402.8
9,Gujarat,146.71,900,30,-40,134.6,0,23,72,673
9,Haryana,30.24,900,31,-31,29.36,0,29.3,76,146.8
9,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,57.45
9,Karnataka,122.65,900,44,-26,111.5,0,15,75,557.5
9,Kerala,74.61,900,30,-32,73.88,0,10,76.25,369.4
9,Madhya Pradesh,64.99,900,37,-25,61.9,0,23.3,80,309.5
9,Maharashtra,156.14,900,0,-70,154.6,0,20,76,773
9,North East,10.48,900,0,-44,10.38,0,28,95,51.9
9,Odisha,28.91,900,6,-25,27.8,0,26,94.2,139
9,Punjab,74.31,900,75,-3,72.15,0,30.8,75.5,360.75
9,Rajasthan,91.44,900,29,-33,90.54,0,27,74,452.7
9,Uttar Pradesh E,89.02,900,0,-31,88.14,0,26,82,440.7
9,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,551.25
9,West Bengal,36.89,900,22,0,36.89,0.36,23,87,184.45
10,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,680.75
10,Assam,37.35,900,0,-31,36.99,0,26.2006043,92.9375739,184.95
10,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,402.8
10,Gujarat,146.71,900,30,-40,134.6,0,23,72,673
10,Haryana,30.24,900,31,-31,29.36,0,29.3,76,146.8
10,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,57.45
10,Karnataka,122.65,900,44,-26,111.5,0,15,75,557.5
10,Kerala,74.61,900,30,-32,73.88,0,10,76.25,369.4
10,Madhya Pradesh,64.99,900,37,-25,61.9,0,23.3,80,309.5
10,Maharashtra,156.14,900,0,-70,154.6,0,20,76,773
10,North East,10.48,900,0,-44,10.38,0,28,95,51.9
10,Odisha,28.91,900,6,-25,27.8,0,26,94.2,139
10,Punjab,74.31,900,75,-3,72.15,0,30.8,75.5,360.75
10,Rajasthan,91.44,900,29,-33,90.54,0,27,74,452.7
10,Uttar Pradesh E,89.02,900,0,-31,88.14,0,26,82,440.7
10,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,551.25
10,West Bengal,39.12,900,22,0,39.12,0.39,23,87,195.6
11,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,680.75
11,Assam,37.35,900,0,-31,36.99,0,26.2006043,92.9375739,184.95
11,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,402.8
11,Gujarat,146.71,900,30,-40,134.6,0,23,72,673
11,Haryana,30.24,900,31,-31,29.36,0,29.3,76,146.8
11,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,57.45
11,Karnataka,122.65,900,44,-26,111.5,0,15,75,557.5
11,Kerala,74.61,900,30,-32,73.88,0,10,76.25,369.4
11,Madhya Pradesh,64.99,900,37,-25,61.9,0,23.3,80,309.5
11,Maharashtra,156.14,900,0,-70,154.6,0,20,76,773
11,North East,10.48,900,0,-44,10.38,0,28,95,51.9
11,Odisha,28.91,900,6,-25,27.8,0,26,94.2,139
11,Punjab,74.31,900,75,-3,72.15,0,30.8,75.5,360.75
11,Rajasthan,91.44,900,29,-33,90.54,0,27,74,452.7
11,Uttar Pradesh E,89.02,900,0,-31,88.14,0,26,82,440.7
11,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,551.25
11,West Bengal,40.69,900,30,8,40.69,0.81,23,87,203.45
12,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,680.75
12,Assam,37.35,900,0,-31,36.99,0,26.2006043,92.9375739,184.95
12,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,402.8
12,Gujarat,146.71,900,30,-40,134.6,0,23,72,673
12,Haryana,30.24,900,31,-31,29.36,0,29.3,76,146.8
12,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,57.45
12,Karnataka,122.65,900,44,-26,111.5,0,15,75,557.5
12,Kerala,74.61,900,30,-32,73.88,0,10,76.25,369.4
12,Madhya Pradesh,64.99,900,37,-25,61.9,0,23.3,80,309.5
12,Maharashtra,156.14,900,0,-70,154.6,0,20,76,773
12,North East,10.48,900,0,-44,10.38,0,28,95,51.9
12,Odisha,28.91,900,6,-25,27.8,0,26,94.2,139
12,Punjab,74.31,900,75,-3,72.15,0,30.8,75.5,360.75
12,Rajasthan,91.44,900,31,-31,90.54,0,27,74,452.7
12,Uttar Pradesh E,89.02,900,0,-31,88.14,0,26,82,440.7
12,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,551.25
12,West Bengal,41.91,900,0,-22,41.5,0,23,87,207.5
13,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,680.75
13,Assam,37.35,900,0,-31,36.99,0,26.2006043,92.9375739,184.95
13,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,402.8
13,Gujarat,146.71,900,30,-40,134.6,0,23,72,673
13,Haryana,30.24,900,31,-31,29.36,0,29.3,76,146.8
13,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,57.45
13,Karnataka,122.65,900,44,-26,111.5,0,15,75,557.5
13,Kerala,74.61,900,30,-32,73.88,0,10,76.25,369.4
13,Madhya Pradesh,64.99,900,37,-25,61.9,0,23.3,80,309.5
13,Maharashtra,156.14,900,0,-70,154.6,0,20,76,773
13,North East,10.48,900,0,-44,10.38,0,28,95,51.9
13,Odisha,28.91,900,6,-25,27.8,0,26,94.2,139
13,Punjab,74.31,900,75,-3,72.15,0,30.8,75.5,360.75
13,Rajasthan,91.44,900,31,-31,90.54,0,27,74,452.7
13,Uttar Pradesh E,89.02,900,0,-31,88.14,0,26,82,440.7
13,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,551.25
13,West Bengal,41.91,900,0,-22,41.5,0,23,87,207.5
14,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,680.75
14,Assam,37.35,900,0,-31,36.99,0,26.2006043,92.9375739,184.95
14,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,402.8
14,Gujarat,146.71,900,30,-40,134.6,0,23,72,673
14,Haryana,30.24,900,61,-1,30.24,0,29.3,76,151.2
14,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,57.45
14,Karnataka,122.65,900,44,-26,111.5,0,15,75,557.5
14,Kerala,74.61,900,30,-32,73.88,0,10,76.25,369.4
14,Madhya Pradesh,64.99,900,37,-25,61.9,0,23.3,80,309.5
14,Maharashtra,156.14,900,0,-70,154.6,0,20,76,773
14,North East,10.48,900,0,-44,10.38,0,28,95,51.9
14,Odisha,28.91,900,6,-25,27.8,0,26,94.2,139
14,Punjab,74.31,900,75,-3,72.15,0,30.8,75.5,360.75
14,Rajasthan,91.44,900,31,-31,90.54,0,27,74,452.7
14,Uttar Pradesh E,89.02,900,0,-31,88.14,0,26,82,440.7
14,Uttar Pradesh W,110.25,900,30,-1,110.25,0,28,80,551.25
14,West Bengal,41.91,900,0,-22,41.5,0,23,87,207.5
15,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,680.75
15,Assam,37.35,900,0,-31,36.99,0,26.2006043,92.9375739,184.95
15,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,402.8
15,Gujarat,146.71,900,30,-40,134.6,0,23,72,673
15,Haryana,30.24,900,61,-1,30.24,0,29.3,76,151.2
15,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,57.45
15,Karnataka,122.65,900,44,-26,111.5,0,15,75,557.5
15,Kerala,74.61,900,30,-32,73.88,0,10,76.25,369.4
15,Madhya Pradesh,64.99,900,37,-25,61.9,0,23.3,80,309.5
15,Maharashtra,156.14,900,0,-70,154.6,0,20,76,773
15,North East,10.48,900,0,-44,10.38,0,28,95,51.9
15,Odisha,28.91,900,6,-25,27.8,0,26,94.2,139
15,Punjab,74.31,900,75,-3,72.15,0,30.8,75.5,360.75
15,Rajasthan,96.07,900,102,40,96.07,7.68,27,74,480.35
15,Uttar Pradesh E,95.3,900,60,29,95.3,5.71,26,82,476.5
15,Uttar Pradesh W,121.54,900,55,24,121.54,6.07,28,80,607.7
15,West Bengal,41.91,900,0,-22,41.5,0,23,87,207.5
16,Andhra Pradesh,144.31,900,45,-25,136.15,0,16,80,680.75
16,Assam,37.35,900,0,-31,36.99,0,26.2006043,92.9375739,184.95
16,Bihar,81.36,900,25,-6,80.56,0,25.11,85.32,402.8
16,Gujarat,146.71,900,30,-40,134.6,0,23,72,673
16,Haryana,30.24,900,61,-1,30.24,0,29.3,76,151.2
16,Himachal Pradesh,11.6,900,0,-62,11.49,0,31.79,77.1,57.45
16,Karnataka,122.65,900,44,-26,111.5,0,15,75,557.5
16,Kerala,74.61,900,30,-32,73.88,0,10,76.25,369.4
16,Madhya Pradesh,64.99,900,37,-25,61.9,0,23.3,80,309.5
16,Maharashtra,156.14,900,0,-70,154.6,0,20,76,773
16,North East,10.48,900,0,-44,10.38,0,28,95,51.9
16,Odisha,28.91,900,6,-25,27.8,0,26,94.2,139
